date,symbol,sharesOutstanding
20181005,DOV,147703621
20181005,DRE,357270096
20181005,DRI,124072449
20181005,DTE,181772574
20181005,DUK,712354724
20181005,DVA,166900000
20181005,DVN,508800000
20181005,DWDP,2307376875
20181005,DXC,281160730
20181005,EA,304818260
20181005,EBAY,989549611
20181005,ECL,288903662
20181005,ED,311102989
20181005,EFX,120412168
20181005,EIX,325811206
20181005,EL,366439035
20181005,EMN,141280046
20181005,EMR,628465551
20181005,EOG,579200784
20181005,EQIX,79508038
20181005,EQR,368281975
20181005,EQT,264000000
20181005,ES,316885808
20181005,ESRX,562120662
20181005,ESS,66050101
20181005,ETFC,259675020
20181005,ETN,433300000
20181005,ETR,180855032
20181005,EVHC,121391673
20181005,EVRG,271687849
20181005,EW,209385978
20181005,EXC,965906701
20181005,EXPD,174335501
20181005,EXPE,149451104
20181005,EXR,126502100
20181005,F,3985726538
20181005,FAST,286948535
20181005,FB,2887218664
20181005,FBHS,142419669
20181005,FCX,1449002815
20181005,FDX,263515857
20181005,FE,486021499
20181005,FFIV,60818323
20181005,FIS,328820674
20181005,FISV,404927094
20181005,FITB,666343936
20181005,FL,114896024
20181005,FLIR,138019573
20181005,FLR,140618971
20181005,FLS,130852600
20181005,FLT,88388545
20181005,FMC,134629650
20181005,FOX,1855493491
20181005,FOXA,1220939959
20181005,FRT,73491303
20181005,FTI,452980999
20181005,FTV,349152355
20181005,GD,296281432
20181005,GE,8691081000
20181005,GILD,1296340593
20181005,GIS,596229932
20181005,GLW,810015005
20181005,GM,1410888316
20181005,GOOG,695677773
20181005,GOOGL,695677773
20181005,GPC,146752732
20181005,GPN,158185477
20181005,GPS,384708284
20181005,GRMN,188797418
20181005,GS,377556226
20181005,GT,237015745
20181005,GWW,56133815
20181005,HAL,879895611
20181005,HAS,126938974
20181005,HBAN,1104226603
20181005,HBI,360507281
20181005,HCA,346046000
20181005,HCP,469832569
20181005,HD,1144138185
20181005,HES,299688199
20181005,HFC,176175461
20181005,HIG,358419118
20181005,HII,43318382
20181005,HLT,298186104
20181005,HOG,166554483
20181005,HOLX,272122768
20181005,HON,742610527
20181005,HP,108943754
20181005,HPE,1471648283
20181005,HPQ,1582408508
20181005,HRB,205520820
20181005,HRL,533117904
20181005,HRS,117506554
20181005,HSIC,153111471
20181005,HST,741677444
20181005,HSY,209312712
20181005,HUM,137763407
20181005,IBM,912768189
20181005,ICE,573436542
20181005,IDXX,86590964
20181005,IFF,91716000
20181005,ILMN,147000000
20181005,INCY,212577449
20181005,INFO,394165229
20181005,INTC,4611000000
20181005,INTU,258671620
20181005,IP,408878065
20181005,IPG,383785420
20181005,IPGP,54353496
20181005,IQV,202586895
20181005,IR,245309566
20181005,IRM,286145783
20181005,ISRG,113747594
20181005,IT,90818051
20181005,ITW,335352977
20181005,IVZ,410848934
20181005,JBHT,109344030
